,Timestamp,SourceIP,SourcePort,DPort,Status
123,3200104,77.72.85.18,42277,4195,BLOCK
124,3200128,121.169.33.208,10572,9999,BLOCK
125,3200190,77.72.85.18,42277,6515,BLOCK
126,3200207,187.113.150.34,12931,23,BLOCK
127,3200236,222.141.74.197,29596,23,BLOCK
128,3200327,77.72.85.18,42277,19741,BLOCK
129,3200340,77.72.82.135,47039,3862,BLOCK
130,3200340,14.152.70.122,9643,22,AUDIT
131,3200372,77.72.82.92,49616,11105,BLOCK
132,3200475,178.159.37.99,43547,3128,BLOCK
133,3200511,77.72.85.18,42277,43190,BLOCK
134,3200517,95.215.1.37,55425,6636,BLOCK
135,3200562,77.72.85.18,42277,33509,BLOCK
136,3200562,77.72.82.92,49616,11156,BLOCK
137,3200566,103.89.89.227,51707,22,AUDIT
138,3200570,221.195.58.235,60782,23,BLOCK
139,3200591,52.73.169.169,45004,161,BLOCK
140,3200591,103.89.89.227,49652,22,AUDIT
141,3200610,77.72.82.22,52866,1443,BLOCK
142,3200623,196.52.43.113,6666,22,AUDIT
143,3200650,5.188.9.25,41696,40401,BLOCK
144,3200654,85.93.20.34,41623,13395,BLOCK
145,3200692,77.72.82.22,52866,1582,BLOCK
146,3200728,58.34.113.125,58665,445,AUDIT
147,3200756,77.72.82.57,56925,5075,BLOCK
148,3200758,77.72.85.18,42277,19031,BLOCK
149,3200767,216.218.206.121,60996,30005,BLOCK
150,3200785,90.150.243.234,29643,23,BLOCK
151,3200791,5.188.86.22,56777,2105,BLOCK
152,3201024,77.72.85.18,42277,34993,BLOCK
153,3201050,77.72.82.57,56936,1595,BLOCK
154,3201083,77.72.85.18,42277,5057,BLOCK
155,3201096,148.153.38.78,45884,445,AUDIT
156,3201121,95.215.1.37,40416,8080,BLOCK
157,3201155,197.249.86.48,28707,2323,BLOCK
158,3201175,77.72.85.18,42277,36413,BLOCK
159,3201181,77.72.82.135,47002,5437,BLOCK
160,3201189,77.72.85.18,42277,5834,BLOCK
161,3201197,42.51.154.49,6000,3306,BLOCK
162,3201220,77.72.85.18,42277,47633,BLOCK
163,3201236,118.212.143.45,45021,22,AUDIT
164,3201286,77.72.85.18,42277,14516,BLOCK
165,3201299,91.193.254.182,41158,23,BLOCK
166,3201319,189.213.31.218,53864,23,BLOCK
167,3201325,77.72.85.18,42277,5131,BLOCK
168,3201345,5.188.11.25,49629,20582,BLOCK
169,3201395,77.72.85.18,42277,42052,BLOCK
170,3201422,220.227.31.66,61577,22,AUDIT
171,3201439,77.72.85.18,42277,21903,BLOCK
172,3201450,74.82.47.58,2737,53,BLOCK
173,3201471,77.72.85.18,42277,16115,BLOCK
174,3201492,139.162.104.208,44225,21,BLOCK
175,3201495,121.12.104.162,9752,1900,BLOCK
176,3201495,77.72.85.18,42277,4009,BLOCK
177,3201510,181.167.192.252,15898,23,BLOCK
178,3201550,77.72.85.18,42277,10892,BLOCK
179,3201567,193.19.119.179,29104,22,AUDIT
180,3201572,77.72.85.18,42277,5467,BLOCK
181,3201607,77.72.82.22,52866,1963,BLOCK
182,3201618,77.72.85.18,42277,29628,BLOCK
183,3201664,60.155.31.21,48912,23,BLOCK
184,3201680,186.21.172.28,2794,23,BLOCK
185,3201701,191.254.183.246,35971,23,BLOCK
186,3201742,77.72.85.18,42277,41372,BLOCK
187,3201751,51.15.70.236,50345,5060,BLOCK
188,3201817,77.72.85.18,42277,51347,BLOCK
189,3201826,221.194.44.211,34438,22,AUDIT
190,3201834,85.93.20.34,41623,13396,BLOCK
191,3201848,77.72.82.57,56936,2596,BLOCK
192,3201861,77.72.85.18,42277,58466,BLOCK
193,3201898,184.105.139.106,51824,69,BLOCK
194,3201921,173.212.237.220,51116,5900,BLOCK
195,3201966,177.94.9.207,16319,23,BLOCK
196,3202004,5.188.86.22,56777,13579,BLOCK
197,3202048,60.250.121.128,12089,23,BLOCK
198,3202053,198.211.117.56,0,0,ALLOW
199,3202078,77.72.85.18,42277,21025,BLOCK
200,3202079,103.207.39.234,57356,22,AUDIT
201,3202136,77.72.85.18,42277,15248,BLOCK
202,3202143,95.215.1.37,55425,6641,BLOCK
203,3202192,71.6.142.85,55643,445,AUDIT
204,3202213,216.218.206.119,8481,137,AUDIT
205,3202269,77.72.85.18,42277,50545,BLOCK
206,3202292,95.215.1.37,55488,7757,BLOCK
207,3202312,111.92.79.167,65177,22,AUDIT
208,3202316,181.214.87.12,41988,3395,BLOCK
209,3202321,111.92.79.167,65177,22,BLOCK
210,3202340,111.92.79.167,56157,22,AUDIT
211,3202367,118.70.12.215,64000,445,AUDIT
212,3202388,77.72.85.18,42277,48467,BLOCK
213,3202393,95.216.3.177,16586,52869,BLOCK
214,3202405,181.214.87.14,53937,9333,BLOCK
215,3202505,77.72.85.18,42277,28622,BLOCK
216,3202580,85.93.20.34,41623,13393,BLOCK
217,3202589,103.226.89.15,35542,23,BLOCK
218,3202595,77.72.82.57,56925,6070,BLOCK
219,3202636,77.72.85.18,42277,51785,BLOCK
220,3202640,181.214.87.239,49347,333,BLOCK
221,3202738,77.72.85.18,42277,55511,BLOCK
222,3202754,92.253.93.56,59875,3389,AUDIT
223,3202764,77.72.85.18,42277,13932,BLOCK
224,3202773,5.101.40.10,53041,22,AUDIT
225,3202784,5.101.40.10,57115,22,AUDIT
226,3202794,134.119.218.49,5240,5060,BLOCK
227,3202805,77.72.85.18,42277,30479,AUDIT
228,3202823,179.108.252.147,60421,23,BLOCK
229,3202842,77.72.82.147,49640,1532,BLOCK
230,3202857,77.72.82.80,49418,7448,BLOCK
231,3202872,34.215.144.83,50652,22,AUDIT
232,3202885,184.105.247.214,19264,623,BLOCK
233,3202908,77.72.82.135,47039,2238,AUDIT
234,3202980,77.72.85.18,42277,28020,BLOCK
235,3203002,202.71.5.103,57764,23,BLOCK
236,3203032,185.234.216.174,5061,7060,BLOCK
237,3203040,77.72.85.18,42277,53729,BLOCK
238,3203055,5.8.50.130,51275,33894,BLOCK
239,3203072,185.35.62.28,60887,502,AUDIT
240,3203078,163.172.201.5,5428,6060,BLOCK
241,3203144,77.72.85.18,42277,27742,BLOCK
242,3203147,222.186.139.109,41876,5899,AUDIT
243,3203227,77.72.85.18,42277,45365,BLOCK
244,3203234,66.240.219.146,33310,3388,BLOCK
245,3203329,77.72.85.18,42277,28719,BLOCK
246,3203331,77.72.82.125,59852,4489,BLOCK
247,3203335,81.23.104.126,43343,1988,BLOCK
248,3203337,111.92.79.167,4479,22,AUDIT
249,3203344,198.211.117.56,0,0,ALLOW
250,3203389,77.72.85.18,42277,42056,BLOCK
251,3203401,121.132.175.177,22916,22,AUDIT
252,3203401,121.132.175.177,45049,22,AUDIT
253,3203425,77.72.85.18,42277,52930,BLOCK
254,3203472,212.47.252.61,5081,5060,BLOCK
255,3203499,77.72.85.18,42277,3726,BLOCK
256,3203510,77.72.82.92,49616,11178,BLOCK
257,3203543,77.72.85.18,42277,27821,BLOCK
258,3203562,94.177.199.217,54721,22,AUDIT
259,3203568,163.172.122.10,21537,5060,BLOCK
260,3203574,190.189.16.146,57558,23,BLOCK
261,3203591,106.241.30.199,42344,22,AUDIT
262,3203604,221.194.47.221,58172,22,AUDIT
263,3203615,77.72.85.18,42277,48696,BLOCK
264,3203617,191.32.225.125,24839,23,BLOCK
265,3203620,221.229.204.122,14983,3306,BLOCK
266,3203631,80.44.239.254,59728,23,BLOCK
267,3203658,77.72.85.18,42277,54694,BLOCK
268,3203661,196.52.43.89,26048,21,BLOCK
269,3203664,107.170.234.249,55584,135,AUDIT
270,3203714,94.254.51.68,55716,2323,BLOCK
271,3203729,77.72.82.57,56936,1591,BLOCK
272,3203729,176.31.230.203,5228,5060,BLOCK
273,3203735,77.72.85.18,42277,47533,BLOCK
274,3203776,188.163.35.117,15044,445,AUDIT
275,3203778,77.72.85.18,42277,35377,BLOCK
276,3203820,77.72.82.22,52866,1996,BLOCK
277,3203837,95.215.1.37,55425,6642,BLOCK
278,3203838,77.72.85.18,42277,13604,BLOCK
279,3203849,34.215.144.83,42030,22,AUDIT
280,3203866,77.72.85.18,42277,13772,AUDIT
281,3203879,193.77.45.128,30651,23,BLOCK
